id,customer_code,name,address_line1,address_line2,address_line3,address_line4,postcode,phone_number,country_code,category,currency,pod_on_portal,invoice_on_portal,handheld_status_on_portal,eta_status_on_portal,general_status_on_portal,status,vat_number,payment_terms,created_at,updated_at,is_deleted
50,GEN006,Genesys International Ltd,3A Aston Way,Middlewich,Middlewich,Cheshire,CW10 0HS,1606837605,GBR,GEN,GBP,true,false,true,true,true,Active,,14,2025-10-09T07:39:35.978Z,2025-10-09T07:39:35.978Z,false
51,GUS001,Gus Logistics Ltd,Cross Banks Farm,Stoke Hall Lane,Nantwich,Cheshire,CW5 6AR,07540 484050,GBR,GEN,GBP,true,false,true,true,true,Active,,14,2025-10-09T07:39:35.978Z,2025-10-09T07:39:35.978Z,false
52,HJF001,HAYWOOD AND JACKSON FABRICATIONS,DENTON DRIVE,NORTHWICH,Northwich,Cheshire,CW9 7LU,,GBR,GEN,GBP,true,false,true,true,true,Active,,14,2025-10-09T07:39:35.978Z,2025-10-09T07:39:35.978Z,false
53,HCL001,HEAMAR COMPANY LTD,1 FOUNDRY BANK,.,Congleton,Cheshire,CW12 1EE,01260 397500,GBR,GEN,GBP,true,false,true,true,true,Active,,14,2025-10-09T07:39:35.978Z,2025-10-09T07:39:35.978Z,false
54,HIG001,HIGHSPEK TECH LTD,UNIT 4 ALDERLEY BUSINESS CENTRE,ALDERLEY ROAD,Macclesfield,Cheshire,SK11 9AP,01625 800651,GBR,GEN,GBP,true,false,true,true,true,Active,,14,2025-10-09T07:39:35.978Z,2025-10-09T07:39:35.978Z,false
55,HOO001,HOOFTRIMMING LTD,UNIT 6 TOWN HOUSE FARM,CLOTTON,Tarporley,Cheshire,CW6 0EG,01829 781476,GBR,GEN,GBP,true,false,true,true,true,Active,,14,2025-10-09T07:39:35.978Z,2025-10-09T07:39:35.978Z,false
56,HTS001,HOOKLIFT TRAILER SOLUTIONS LTD,9 PRITCHARD DRIVE,DAVENHAM,Northwich,Cheshire,CW9 8HL,7881292699,GBR,GEN,GBP,true,false,true,true,true,Active,,14,2025-10-09T07:39:35.978Z,2025-10-09T07:39:35.978Z,false
57,HRH001,HRH International Exports Ltd,Unit 1 Seafire Business Park,Seafire Way,Ormskirk,Lancashire,L40 8AH,1513759119,GBR,GEN,GBP,true,false,true,true,true,Active,,14,2025-10-09T07:39:35.978Z,2025-10-09T07:39:35.978Z,false
58,HOT001,Hot Pottery,7 Appleby Court,Adenmore Road,London,Greater London,SE6 4EJ,,GBR,GEN,GBP,true,false,true,true,true,Active,,14,2025-10-09T07:39:35.978Z,2025-10-09T07:39:35.978Z,false
59,GAL001,Iconic Slate Ltd T/A Galex,9 Regents Park,129 London Road,Nantwich,Cheshire,CW5 6LW,01270 483763,GBR,GEN,GBP,true,false,true,true,true,Active,,14,2025-10-09T07:39:35.978Z,2025-10-09T07:39:35.978Z,false
