ConsignmentNumber,CustomerReference,CustomerReference2,ConsignmentType,AccountCode,CollectionName,CollectionAddress1,CollectionAddress2,CollectionTownCity,CollectionCounty,CollectionPostCode,CollectionCountry,CollectionIsResidential,CollectionDate,CollectionTime,CollectionContactName,CollectionPhone,CollectionSMS,CollectionEmailAddress,CollectionNoteLine1,CollectionNoteLine2,CollectionNoteLine3,CollectionNoteLine4,DeliveryName,DeliveryAddress1,DeliveryAddress2,DeliveryTownCity,DeliveryCounty,DeliveryPostCode,DeliveryCountry,DeliveryIsResidential,DeliveryDate,DeliveryTime,DeliveryContactName,DeliveryPhone,DeliverySMS,DeliveryEmailAddress,CustPaperworkRequired,DeliveryNoteLine1,DeliveryNoteLine2,DeliveryNoteLine3,DeliveryNoteLine4,TotalSpaces,TotalKilos,UnitCode,FullQ,HalfQ,HalfPlusQ,QuarterQ,MicroQ,ServiceCode,Surcharges,Surcharge1,Surcharge2,Surcharge3,Surcharge4,Surcharge5,AmazonASN,AmazonFBARef,AmazonBillOfLading,AmazonCartonCount,AmazonUnitCount,AmazonPORef
115,2506008385,,2,BOUSAP,Boughey Distribution Ltd,Wardle,,Nantwich,Cheshire,CW5 6RS,GBR,,2025-10-16,,TOW,01829 260704,,,,,,,Trilanco Ltd,Coronation Way,,Wesham,,PR4 3JZ,GBR,,2025-10-20,00:00,Trilanco Ltd,01772 754849,,,Y,BY 24/6 WESHAM,Customer paperwork must be signed.,,,2,248,PL,1,1,0,0,0,B,BK,BK,,,,,,,,0,0,
116,6390864,,2,BOUSAP,Boughey Distribution Ltd,Wardle,,Nantwich,Cheshire,CW5 6RS,GBR,,2025-10-16,,NBF,01829 260704,,,,,,,BOOKER RETAIL PARTNERS,ELMSALL DRIVE,REGIONAL DIST CENTRE,WAKEFIELD,WEST YORKSHIRE,WF9 2RH,GBR,,2025-10-20,14:30,BOOKER RETAIL PARTNERS,03455 439910,,,Y,24/6@14:30 1553116,Customer paperwork must be signed.,,,1,215,PL,1,0,0,0,0,B,BD,BD,,,,,,,,0,0,
117,85761,,2,BOUSAP,Boughey Distribution Ltd,Wardle,,Nantwich,Cheshire,CW5 6RS,GBR,,2025-10-16,,WLL,01829 260704,,,,,,,Purition Ltd.,Vanguard Way,Unit 4 - 5,Shrewsbury,,SY1 3TG,GBR,,2025-10-20,00:00,Purition Ltd.,01743 444 397,,,Y,BY 24/6 SHREWSBURY,Customer paperwork must be signed.,,,2,1991,PL,2,0,0,0,0,B,BK,BK,,,,,,,,0,0,
118,7859182,,2,BOUSAP,Boughey Distribution Ltd,Wardle,,Nantwich,Cheshire,CW5 6RS,GBR,,2025-10-16,,MRL,01829 260704,,,,,,,Bonbons Wholesale,Moorside Business Park,,York (R),,YO26 7QG,GBR,,2025-10-20,00:00,Bonbons Wholesale,01937 229644,,,Y,BY 24/6 (R),Customer paperwork must be signed.,,,2,333,PL,1,1,0,0,0,B,BK,BK,,,,,,,,0,0,
119,6392068,,2,BOUSAP,Boughey Distribution Ltd,Wardle,,Nantwich,Cheshire,CW5 6RS,GBR,,2025-10-16,,NBF,01829 260704,,,,,,,CPD PLC,INNOVATION DRIVE,I-PARK INDUSTRIAL ESTATE,HULL,EAST YORKSHIRE,HU5 1SG,GBR,,2025-10-20,00:00,CPD PLC,1482625640,,,Y,BY 24/6,Customer paperwork must be signed.,,,1,106,PL,0,0,0,1,0,B,BK,BK,,,,,,,,0,0,
120,WO2503996,,2,BOUSAP,Boughey Distribution Ltd,Wardle,,Nantwich,Cheshire,CW5 6RS,GBR,,2025-10-16,,LIO,01829 260704,,,,,,,Northen Bites,Unit 25,,Halifax (R),,HX1 4JQ,GBR,,2025-10-20,00:00,Northen Bites,0800 270 7863,,,Y,BY 24/6 (R),Customer paperwork must be signed.,,,3,1377,PL,2,0,0,1,0,B,BK,BK,,,,,,,,0,0,
121,WO2504059,,2,BOUSAP,Boughey Distribution Ltd,Wardle,,Nantwich,Cheshire,CW5 6RS,GBR,,2025-10-16,,LIO,01829 260704,,,,,,,RESTAURANT WHOLESALE C/C,LORD NORTH STREET,OFF HULME HALL LANE,MANCHESTER,,M40 8AD,GBR,,2025-10-20,00:00,RESTAURANT WHOLESALE C/C,0161 202 8205,,,Y,BY 24/6,Customer paperwork must be signed.,,,1,584,PL,1,0,0,0,0,B,BK,BK,,,,,,,,0,0,
122,SAMPLE_LINKC18.0,,2,BOUSAP,Boughey Distribution Ltd,Wardle,,Nantwich,Cheshire,CW5 6RS,GBR,,2025-10-16,,TUD,01829 260704,,,,,,,LINK COMMUNICATIONS,47 KENT ROAD,,LEEDS (R),,LS28 9BB,GBR,,2025-10-20,00:00,LINK COMMUNICATIONS,0113 278 7808,,,Y,BY 24/6 (R),Customer paperwork must be signed.,,,2,1574,PL,2,0,0,0,0,B,BK TL,BK,TL,,,,,,,0,0,
123,82186609,,2,BOUSAP,Boughey Distribution Ltd,Wardle,,Nantwich,Cheshire,CW5 6RS,GBR,,2025-10-16,,BOT,01829 260704,,,,,,,TCB WHOLESALE,DALE AVENUE,,GLASGOW (R),,G72 7DX,GBR,,2025-10-20,00:00,TCB WHOLESALE,,,,Y,BY 24/6 (R),Customer paperwork must be signed.,,,2,1390,PL,2,0,0,0,0,B,BK,BK,,,,,,,,0,0,
124,WO2503991,,2,BOUSAP,Boughey Distribution Ltd,Wardle,,Nantwich,Cheshire,CW5 6RS,GBR,,2025-10-16,,LIO,01829 260704,,,,,,,MKG FOOD PRODUCTS,WINGATE CLOSE,BILBOROUGH,NOTTINGHAM,NOTTINGHAMSHIRE,NG8 4LS,GBR,,2025-10-20,00:00,MKG FOOD PRODUCTS,01922 749 390,,,Y,BY 24/6,Customer paperwork must be signed.,,,1,642,PL,1,0,0,0,0,B,BK,BK,,,,,,,,0,0,
