ConsignmentNumber,CustomerReference,CustomerReference2,ConsignmentType,AccountCode,CollectionName,CollectionAddress1,CollectionAddress2,CollectionTownCity,CollectionCounty,CollectionPostCode,CollectionCountry,CollectionIsResidential,CollectionDate,CollectionTime,CollectionContactName,CollectionPhone,CollectionSMS,CollectionEmailAddress,CollectionNoteLine1,CollectionNoteLine2,CollectionNoteLine3,CollectionNoteLine4,DeliveryName,DeliveryAddress1,DeliveryAddress2,DeliveryTownCity,DeliveryCounty,DeliveryPostCode,DeliveryCountry,DeliveryIsResidential,DeliveryDate,DeliveryTime,DeliveryContactName,DeliveryPhone,DeliverySMS,DeliveryEmailAddress,CustPaperworkRequired,DeliveryNoteLine1,DeliveryNoteLine2,DeliveryNoteLine3,DeliveryNoteLine4,TotalSpaces,TotalKilos,UnitCode,FullQ,HalfQ,HalfPlusQ,QuarterQ,MicroQ,ServiceCode,Surcharges,Surcharge1,Surcharge2,Surcharge3,Surcharge4,Surcharge5,AmazonASN,AmazonFBARef,AmazonBillOfLading,AmazonCartonCount,AmazonUnitCount,AmazonPORef
145,2506008335,,2,BOUSAP,Boughey Distribution Ltd,Wardle,,Nantwich,Cheshire,CW5 6RS,GBR,,2025-10-16,,TOW,01829 260704,,,,,,,Norvite Farm & Country Store,South Blackbog,,Inverurie,,AB51 0AG,GBR,,2025-10-20,00:00,Norvite Farm & Country Store,01651 873966,,,Y,BETWEEN 9AM-5PM,Customer paperwork must be signed.,,,3,1358,PL,3,0,0,0,0,B,BK,BK,,,,,,,,0,0,
146,BIP40182,,2,BOUSAP,Boughey Distribution Ltd,Wardle,,Nantwich,Cheshire,CW5 6RS,GBR,,2025-10-16,,WHA,01829 260704,,,,,,,ENCO,89 MONTAGUE STREET,ELCO OXFORD MILL UNIT 2,BLACKBURN (R),LANCASHIRE,BB2 1EH,GBR,,2025-10-20,15:00,ENCO,07306 485281,,,Y,OPEN,Customer paperwork must be signed.,,,2,270,PL,0,2,0,0,0,B,BW,BW,,,,,,,,0,0,
147,2506008330,,2,BOUSAP,Boughey Distribution Ltd,Wardle,,Nantwich,Cheshire,CW5 6RS,GBR,,2025-10-16,,TOW,01829 260704,,,,,,,Burns Pet Shop Llandeilo,3 Crescent Road,,Llandeilo (PL),,SA19 6HL,GBR,,2025-10-20,15:00,Burns Pet Shop Llandeilo,1558328137,,,Y,EMAILED,Customer paperwork must be signed.,,,1,411,PL,1,0,0,0,0,B,BW,BW,,,,,,,,0,0,
148,WO2503971,,2,BOUSAP,Boughey Distribution Ltd,Wardle,,Nantwich,Cheshire,CW5 6RS,GBR,,2025-10-16,,LIO,01829 260704,,,,,,,EWOOD FOODS,NEWHOUSE ROAD,HUNCOAT IND EST,ACCRINGTON,LANCASHIRE,BB5 6NT,GBR,,2025-10-20,11:00,EWOOD FOODS,1254355259,,,Y,REF MIKE,Customer paperwork must be signed.,,,1,499,PL,1,0,0,0,0,B,BD,BD,,,,,,,,0,0,
149,WO2503965,,2,BOUSAP,Boughey Distribution Ltd,Wardle,,Nantwich,Cheshire,CW5 6RS,GBR,,2025-10-16,,LIO,01829 260704,,,,,,,Lower Lane Ltd,MILLENIUM RD,MILLENNIUM PARK,PRESTON (R),LANCASHIRE,PR2 5BL,GBR,,2025-10-20,15:00,Lower Lane Ltd,01772 791 888,,,Y,BOOKED,Customer paperwork must be signed.,,,1,604,PL,1,0,0,0,0,B,BW,BW,,,,,,,,0,0,
150,7859171,,2,BOUSAP,Boughey Distribution Ltd,Wardle,,Nantwich,Cheshire,CW5 6RS,GBR,,2025-10-16,,MRL,01829 260704,,,,,,,CANDY HERO LTD,Thornbury Industrial Estate,,BRADFORD,WEST YORKSHIRE,BD3 7AF,GBR,,2025-10-20,15:00,CANDY HERO LTD,7731741321,,,Y,EMAILED,Customer paperwork must be signed.,,,1,57,PL,0,0,0,1,0,B,BW,BW,,,,,,,,0,0,
151,WO2503956,,2,BOUSAP,Boughey Distribution Ltd,Wardle,,Nantwich,Cheshire,CW5 6RS,GBR,,2025-10-16,,LIO,01829 260704,,,,,,,W MCCLURE,COLLEGE ROAD,,WINDERMERE,LANCASHIRE,LA23 1BX,GBR,,2025-10-20,10:30,W MCCLURE,01539 442636,,,Y,REF EMILY,Customer paperwork must be signed.,,,2,1120,PL,1,1,0,0,0,B,BD,BD,,,,,,,,0,0,
152,BIP40201,,2,BOUSAP,Boughey Distribution Ltd,Wardle,,Nantwich,Cheshire,CW5 6RS,GBR,,2025-10-16,,WHA,01829 260704,,,,,,,Superb Sweets Ltd T/A Stockpor,UNIT D 4/5,,STOCKPORT,,SK4 2JZ,GBR,,2025-10-20,15:00,Superb Sweets Ltd T/A Stockpor,01614 805 550,,,Y,EMAILED,Customer paperwork must be signed.,,,1,171,PL,1,0,0,0,0,B,BW,BW,,,,,,,,0,0,
153,WO2503978,,2,BOUSAP,Boughey Distribution Ltd,Wardle,,Nantwich,Cheshire,CW5 6RS,GBR,,2025-10-16,,LIO,01829 260704,,,,,,,MARFAST & CO LTD,30 BROUGHTON STREET,,MANCHESTER (R),,M8 8NN,GBR,,2025-10-20,11:00,MARFAST & CO LTD,0161 833 0024,,,Y,BOOKED,Customer paperwork must be signed.,,,1,609,PL,1,0,0,0,0,B,BD,BD,,,,,,,,0,0,
154,6390487,,2,BOUSAP,Boughey Distribution Ltd,Wardle,,Nantwich,Cheshire,CW5 6RS,GBR,,2025-10-16,,LOT,01829 260704,,,,,,,BRAMBLE FOODS,CROSBY ROAD,,MARKET HARBOROUGH,LEICESTERSHIRE,LE16 9EE,GBR,,2025-10-20,15:00,BRAMBLE FOODS,01858 461199,,,Y,EMAILED,Customer paperwork must be signed.,,,1,252,PL,1,0,0,0,0,B,BW,BW,,,,,,,,0,0,
155,85733,,2,BOUSAP,Boughey Distribution Ltd,Wardle,,Nantwich,Cheshire,CW5 6RS,GBR,,2025-10-16,,WLL,01829 260704,,,,,,,Evolving Group,Sizewell Self Storage Unit 1B,,Leiston (R),,IP16 4LW,GBR,,2025-10-20,15:00,Evolving Group,7935936111,,,Y,MUST BE THE 20TH.,Customer paperwork must be signed.,,,1,624,PL,1,0,0,0,0,B,BW,BW,,,,,,,,0,0,
156,WO2503976,,2,BOUSAP,Boughey Distribution Ltd,Wardle,,Nantwich,Cheshire,CW5 6RS,GBR,,2025-10-16,,LIO,01829 260704,,,,,,,FIRST CHOICE CASH & CARRY,DERBY ROAD,RYKNILD ESTATE,BURTON-UPON-TRENT,STAFFORDSHIRE,DE14 1RZ,GBR,,2025-10-20,10:30,FIRST CHOICE CASH & CARRY,01283 531821,,,Y,REF KAY,Customer paperwork must be signed.,,,1,862,PL,1,0,0,0,0,B,BD,BD,,,,,,,,0,0,
157,3999019613,,2,BOUSAP,Boughey Distribution Ltd,Wardle,,Nantwich,Cheshire,CW5 6RS,GBR,,2025-10-16,,ESL,01829 260704,,,,,,,BOUNDARY MILLS,BENTLEY MILL WAY,JUNCTION 10 RETAIL PARK,WALSALL,WEST MIDLANDS,WS2 0LE,GBR,,2025-10-20,15:00,BOUNDARY MILLS,01922 618200,,,Y,REF 253424,Customer paperwork must be signed.,,,2,145,PL,0,2,0,0,0,B,BW,BW,,,,,,,,0,0,
158,WO2503979,,2,BOUSAP,Boughey Distribution Ltd,Wardle,,Nantwich,Cheshire,CW5 6RS,GBR,,2025-10-16,,LIO,01829 260704,,,,,,,Ics (Uk) Ltd,Austin Way,Caterchoice Birmingham,Birmingham,,B42 1DU,GBR,,2025-10-20,15:00,Ics (Uk) Ltd,0121 357 9100,,,Y,EMAILED,Customer paperwork must be signed.,,,2,1480,PL,2,0,0,0,0,B,BW,BW,,,,,,,,0,0,
159,270918,,2,BOUSAP,Boughey Distribution Ltd,Wardle,,Nantwich,Cheshire,CW5 6RS,GBR,,2025-10-16,,FBG,01829 260704,,,,,,,Holdsworth Foodserv.Evesham AM,James Acre Industrial EST,,EVESHAM,WORCESTERSHIRE,WR11 2QL,GBR,,2025-10-20,11:00,Holdsworth Foodserv.Evesham AM,01386 442666,,,Y,BOOKED,Customer paperwork must be signed.,,,1,216,PL,1,0,0,0,0,B,BD,BD,,,,,,,,0,0,
160,SO33779,,2,BOUSAP,Boughey Distribution Ltd,Wardle,,Nantwich,Cheshire,CW5 6RS,GBR,,2025-10-16,,CAW,01829 260704,,,,,,,Groundswell Festival,Lannock Farm,,Hitchin (R),,SG4 7EE,GBR,,2025-10-20,15:00,Groundswell Festival,07817 640 319,,,Y,EMAILED,Customer paperwork must be signed.,,,1,139,PL,0,0,0,1,0,B,BW,BW,,,,,,,,0,0,
161,3999019611,,2,BOUSAP,Boughey Distribution Ltd,Wardle,,Nantwich,Cheshire,CW5 6RS,GBR,,2025-10-16,,ESL,01829 260704,,,,,,,BRAMBLE FOODS,CROSBY ROAD,,MARKET HARBOROUGH,LEICESTERSHIRE,LE16 9EE,GBR,,2025-10-20,15:00,BRAMBLE FOODS,01858 461199,,,Y,EMAILED,Customer paperwork must be signed.,,,1,177,PL,1,0,0,0,0,B,BW,BW,,,,,,,,0,0,
162,7859176,,2,BOUSAP,Boughey Distribution Ltd,Wardle,,Nantwich,Cheshire,CW5 6RS,GBR,,2025-10-16,,MRL,01829 260704,,,,,,,SPRINGVALE FOODS,CAVENDISH STREET,,IPSWICH,SUFFOLK,IP3 8AX,GBR,,2025-10-20,15:00,SPRINGVALE FOODS,01473 284111,,,Y,EMAILED,Customer paperwork must be signed.,,,3,497,PL,2,0,0,1,0,B,BW TL,BW,TL,,,,,,,0,0,
163,258101,,2,BOUSAP,Boughey Distribution Ltd,Wardle,,Nantwich,Cheshire,CW5 6RS,GBR,,2025-10-16,,MPM,01829 260704,,,,,,,BATLEYS PLC (DEPOT 703),ROYDSDALE WAY,EUROWAYS IND ESTATE,BRADFORD,WEST YORKSHIRE,BD4 6RY,GBR,,2025-10-20,10:30,BATLEYS PLC (DEPOT 703),01274 651717,,,Y,EMAILED,Customer paperwork must be signed.,,,1,48,PL,0,0,0,1,0,B,BD,BD,,,,,,,,0,0,
164,258104,,2,BOUSAP,Boughey Distribution Ltd,Wardle,,Nantwich,Cheshire,CW5 6RS,GBR,,2025-10-16,,MPM,01829 260704,,,,,,,BATLEYS PLC (DEPOT 709),CHAPPELL DRIVE,,DONCASTER,SOUTH YORKSHIRE,DN1 2RG,GBR,,2025-10-20,15:00,BATLEYS PLC (DEPOT 709),01302 368461,,,Y,EMAILED,Customer paperwork must be signed.,,,1,119,PL,0,0,0,1,0,B,BW,BW,,,,,,,,0,0,
165,258097,,2,BOUSAP,Boughey Distribution Ltd,Wardle,,Nantwich,Cheshire,CW5 6RS,GBR,,2025-10-16,,MPM,01829 260704,,,,,,,BATLEYS PLC (DEPOT 7),OHIO AVENUE,SALFORD ENTERPRISE ZONE,SALFORD,LANCASHIRE,M50 2GT,GBR,,2025-10-17,15:00,BATLEYS PLC (DEPOT 7),0161 872 0681,,,Y,EMAILED,Customer paperwork must be signed.,,,3,1448,PL,1,2,0,0,0,A,BW,BW,,,,,,,,0,0,
